Skill Group Bin,Round (group),Round Winner,RoundEndReason,de_dust2,de_dust2,de_nuke,de_nuke,de_inferno,de_inferno,de_mirage,de_mirage,de_cbble,de_cbble,de_cache,de_cache,de_overpass,de_overpass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group Bin,Round (group),Round Winner,RoundEndReason,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,Planted,Not Planted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Rounds 4 - 15,CT Win,Bomb Defused,11.01%,,11.31%,,9.71%,,12.78%,,9.62%,,14.94%,,13.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Rounds 4 - 15,CT Win,Bomb Defused,11.26%,,11.47%,,10.93%,,12.89%,,9.41%,,15.29%,,13.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Rounds 4 - 15,CT Win,Bomb Defused,11.32%,,11.06%,,11.98%,,12.59%,,9.17%,,14.80%,,13.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Round 1,T Win,Target Bombed,5.05%,,7.11%,,4.34%,,7.58%,,6.31%,,5.13%,,6.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Round 1,T Win,Target Bombed,2.95%,,4.37%,,3.13%,,4.13%,,3.55%,,3.33%,,3.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Round 1,T Win,Target Bombed,2.09%,,2.84%,,2.63%,,2.85%,,2.47%,,2.46%,,2.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Round 1,T Win,Target Bombed,1.58%,,2.06%,,2.27%,,2.21%,,1.75%,,1.82%,,1.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Rounds 2 - 3,T Win,Target Bombed,5.91%,,5.95%,,5.23%,,7.07%,,6.24%,,5.69%,,6.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Rounds 2 - 3,T Win,Target Bombed,4.99%,,4.49%,,5.12%,,5.29%,,4.65%,,4.57%,,4.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Rounds 2 - 3,T Win,Target Bombed,4.24%,,3.51%,,5.16%,,4.47%,,4.15%,,4.10%,,3.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Rounds 2 - 3,T Win,Target Bombed,4.30%,,3.20%,,6.22%,,4.43%,,4.52%,,4.35%,,4.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Rounds 4 - 15,T Win,Target Bombed,6.94%,,6.01%,,6.47%,,7.61%,,7.39%,,6.70%,,6.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Rounds 4 - 15,T Win,Target Bombed,7.42%,,5.42%,,7.47%,,6.69%,,6.87%,,6.40%,,5.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Rounds 4 - 15,T Win,Target Bombed,7.34%,,4.68%,,8.07%,,6.10%,,6.63%,,6.12%,,5.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Rounds 4 - 15,T Win,Target Bombed,6.81%,,3.85%,,7.88%,,5.22%,,6.21%,,5.39%,,4.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Round 1,CT Win,Target Saved,,0.26%,,1.53%,,0.75%,,0.43%,,0.85%,,0.31%,,0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Round 1,CT Win,Target Saved,,0.23%,,0.92%,,0.60%,,0.30%,,0.46%,,0.23%,,0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Round 1,CT Win,Target Saved,,0.22%,,0.68%,,0.44%,,0.24%,,0.35%,,0.20%,,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Round 1,CT Win,Target Saved,,0.15%,,0.49%,,0.28%,,0.19%,,0.24%,,0.10%,,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Rounds 2 - 3,CT Win,Target Saved,,0.80%,,2.92%,,1.79%,,1.16%,,2.05%,,0.91%,,1.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Rounds 2 - 3,CT Win,Target Saved,,0.94%,,2.56%,,1.92%,,1.23%,,1.76%,,0.97%,,1.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Rounds 2 - 3,CT Win,Target Saved,,0.72%,,1.80%,,1.38%,,0.97%,,1.30%,,0.77%,,1.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Rounds 2 - 3,CT Win,Target Saved,,0.53%,,1.26%,,1.01%,,0.70%,,0.93%,,0.53%,,1.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 1-6,Rounds 4 - 15,CT Win,Target Saved,,2.04%,,4.82%,,3.58%,,2.41%,,4.34%,,2.10%,,3.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 7-10,Rounds 4 - 15,CT Win,Target Saved,,3.04%,,5.94%,,5.06%,,3.44%,,5.09%,,2.90%,,4.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 11-14,Rounds 4 - 15,CT Win,Target Saved,,3.05%,,5.78%,,5.20%,,3.65%,,4.90%,,2.97%,,5.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Group 15-18,Rounds 4 - 15,CT Win,Target Saved,,2.17%,,4.35%,,3.91%,,2.77%,,3.82%,,2.19%,,4.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
